url,type,lastmod
"https://petshop.lt/coockoo-huggl-svelnus-cypiantis-zaislas-violetinis-2418-cm-2",product,2026-04-05T01:39:21+00:00
"https://petshop.lt/ontario-konservai-sunims-su-zasiena-spanguolemis-ir-linu-semenu-aliejumi-200-g-adult-goose-with-cranberries",product,2026-06-17T11:47:00+00:00
"https://petshop.lt/ontario-konservai-sunims-su-jautiena-cukinijomis-ir-linu-semenu-aliejumi-200-g-adult-beef-with-zucchini",product,2026-06-17T11:46:17+00:00
"https://petshop.lt/triusio-ausys-rudos",product,2026-06-12T14:41:34+00:00
"https://petshop.lt/triusio-ausys-baltos-250-g",product,2026-06-12T14:40:49+00:00
"https://petshop.lt/kiaules-ausis-ruda",product,2026-06-29T16:18:41+00:00
"https://petshop.lt/jaucio-ausis-balta",product,2026-06-29T16:04:58+00:00
"https://petshop.lt/jaucio-ausis-ruda",product,2026-06-29T15:40:37+00:00
"https://petshop.lt/kiaules-snipas-baltas",product,2026-07-06T19:31:14+00:00
"https://petshop.lt/jaucio-peniai-pjaustyti-125-cm",product,2026-07-03T17:42:38+00:00
"https://petshop.lt/jaucio-peniai-pjaustyti-150-cm",product,2026-07-03T17:43:16+00:00
"https://petshop.lt/zarnu-pagaliukai-80-g",product,2026-06-12T14:43:43+00:00
"https://petshop.lt/kepenys-100-g",product,2026-06-12T14:43:15+00:00
"https://petshop.lt/stemples-100-g",product,2026-06-12T14:48:18+00:00
"https://petshop.lt/visavertis-lesalas-vidutinems-papugelems-tris-500-g",product,2023-12-16T13:33:33+00:00
"https://petshop.lt/visavertis-pasaras-ziurkenams-paco-500-g",product,2026-05-07T12:32:13+00:00
"https://petshop.lt/ontario-skanestai-kaciu-dantu-prieziurai-dental-bits-75-g",product,2026-05-08T09:38:15+00:00
"https://petshop.lt/ontario-skanestai-katems-su-vitaminais-malt-bits-75-g",product,2026-05-08T09:38:28+00:00
"https://petshop.lt/gimcat-skanestai-katems-vitaminizuotos-tabletes-su-zole-gras-bits-50-g",product,2026-03-17T09:53:14+00:00
"https://petshop.lt/gimcat-skanestai-katems-vitaminizuoti-surio-rutuliukai-cheezies-50-g",product,2026-03-17T10:03:41+00:00
"https://petshop.lt/kiaules-knysle-ruda-1-vnt",product,2026-07-06T19:31:37+00:00
"https://petshop.lt/versiuko-koja-1-vnt",product,2026-03-06T10:44:20+00:00
"https://petshop.lt/gimcat-maisto-papildas-katems-multivitaminu-pasta-su-tgos-100-g",product,2026-06-02T22:29:19+00:00
